27	263	昌河汽车	昌河汽车	昌河	爱迪尔		微型车				上市	3.69万,	1.0L,1.0L,	汽油:1	5挡手动:1	5门两厢轿车:1	3600*1600*1670:2
27	172	长安铃木	长安铃木	铃木	奥拓		微型车				上市	5.89万,	1.0L,1.0L,1.0L,1.0L,1.0L,	汽油:1	5挡手动:1	5门两厢轿车:1	3500*1600*1470:3,3570*1600*1470:2
27	1253	长安乘用	长安乘用	长安	奔奔love		微型车				上市	5.89万,	1.3L,1.3L,1.3L,1.3L,1.3L,	汽油:1	5挡手动:1	5门两厢轿车:1	3655*1650*1550:5
27	267	长安乘用	长安乘用	长安	奔奔mini		微型车				上市	4.69万,	1.0L,1.0L,1.0L,1.0L,1.0L,1.0L,1.0L,1.0L,1.0L,1.0L,1.0L,1.0L,1.0L,	汽油:1	5挡手动:1	5门两厢轿车:1	3520*1570*1490:8,3580*1570*1490:5
27	258	比亚迪汽车	比亚迪汽车	比亚迪	比亚迪f0		微型车				上市	4.69万,	1.0L,1.0L,1.0L,	汽油:1	5挡手动:1	5门两厢轿车:1	3460*1618*1465:3
27	568	进口菲亚特	进口菲亚特	菲亚特	菲亚特500		微型车				上市	22.88万,	1.4L,1.4L,1.4L,1.4L,	汽油:1	6挡自动:1	3门两厢轿车:1	3547*1627*1520:4
27	1434	进口菲亚特	进口菲亚特	菲亚特	菲亚特500c		微型车				上市	26.18万,	1.4L,1.4L,	汽油:1	6挡自动:1	2门两厢轿车:1	3547*1627*1497:2
27	286	哈飞汽车	哈飞汽车	哈飞	哈飞路宝		微型车				上市	4.34万,	1.3L,1.1L,1.1L,1.1L,1.1L,1.0L,1.0L,	汽油:1	5挡手动:1	5门两厢轿车:1	3658*1563*1547:7
27	1318	郑州海马	郑州海马	海马	海马爱尚		微型车				上市	4.58万,	1.0L,1.0L,1.0L,1.0L,	汽油:1	5挡手动:1	5门两厢轿车:1	3662*1540*1495:4
27	952	郑州海马	郑州海马	海马	海马王子		微型车				上市	4.38万,	1.0L,1.0L,1.0L,1.0L,	汽油:1	5挡手动:1	5门两厢轿车:1	3590*1540*1486:4
27	1332	众泰汽车	众泰汽车	众泰	江南tt		微型车				上市	2.58万,	0.8L,0.8L,0.8L,	汽油:1	4挡手动:1	5门两厢轿车:1	3300*1405*1410:3
27	143	上汽通用五菱雪佛	上汽通用五菱雪佛	雪佛兰	乐驰		微型车				上市	4.98万,	1.2L,1.2L,1.2L,1.0L,1.0L,	汽油:1	5挡手动:1	5门两厢轿车:1	3565*1515*1510:3,3545*1495*1523:2
